16:35, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 27.00%, temp: 37.80C
16:44, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.70C
16:44, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.90C
16:44, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.60C
16:44, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.60C
16:45, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.20C
16:45, PM10: 135ug/m^3, PM2.5: 135ug/m^3, Humid: 27.00%, temp: 38.20C
16:45, PM10: 134ug/m^3, PM2.5: 134ug/m^3, Humid: 26.00%, temp: 37.80C
16:46, PM10: 134ug/m^3, PM2.5: 134ug/m^3, Humid: 28.00%, temp: 39.10C
16:47, PM10: 152ug/m^3, PM2.5: 152ug/m^3, Humid: 28.00%, temp: 38.10C
16:47, PM10: 153ug/m^3, PM2.5: 153ug/m^3, Humid: 28.00%, temp: 38.10C
16:48, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 27.00%, temp: 37.80C
16:49, PM10: 157ug/m^3, PM2.5: 157ug/m^3, Humid: 28.00%, temp: 38.00C
16:49, PM10: 157ug/m^3, PM2.5: 157ug/m^3, Humid: 28.00%, temp: 38.00C
16:54, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 28.00%, temp: 38.00C
16:54, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 28.00%, temp: 38.20C
16:54, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 28.00%, temp: 38.30C
16:55, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 28.00%, temp: 38.00C
16:55, PM10: 55ug/m^3, PM2.5: 155ug/m^3, Humid: 28.00%, temp: 38.00C
16:55, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 27.00%, temp: 37.90C
16:56, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 28.00%, temp: 38.30C
16:56, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 28.00%, temp: 38.30C
16:57, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 28.00%, temp: 38.00C
16:57, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.00C
16:59, PM10: 157ug/m^3, PM2.5: 157ug/m^3, Humid: 27.00%, temp: 38.50C
16:59, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 27.00%, temp: 38.50C
17:03, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 27.00%, temp: 38.40C
17:03, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 28.00%, temp: 38.60C
17:03, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 27.00%, temp: 38.50C
17:03, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 27.00%, temp: 38.60C
17:14, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 26.00%, temp: 38.70C
17:15, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 26.00%, temp: 38.90C
17:15, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 26.00%, temp: 38.90C
17:15, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 26.00%, temp: 38.90C
17:17, PM10: 157ug/m^3, PM2.5: 157ug/m^3, Humid: 27.00%, temp: 39.00C
17:17, PM10: 157ug/m^3, PM2.5: 157ug/m^3, Humid: 26.00%, temp: 38.90C
18:42, PM10: 15ug/m^3, PM2.5: 15ug/m^3, Humid: 41.00%, temp: 31.40C
18:42, PM10: 15ug/m^3, PM2.5: 15ug/m^3, Humid: 41.00%, temp: 31.50C
18:43, PM10: 16ug/m^3, PM2.5: 16ug/m^3, Humid: 41.00%, temp: 31.00C
