17:18, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 42.00%, temp: 35.50C
17:18, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 42.00%, temp: 35.00C
17:18, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 43.00%, temp: 36.00C
17:18, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 42.00%, temp: 35.00C
17:21, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 42.00%, temp: 34.60C
17:21, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 42.00%, temp: 35.00C
17:23, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 40.00%, temp: 34.40C
17:23, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 41.00%, temp: 36.00C
17:24, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 40.00%, temp: 35.00C
17:24, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 40.00%, temp: 34.90C
17:27, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 41.00%, temp: 36.50C
17:27, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 41.00%, temp: 36.50C
17:35, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 38.00%, temp: 35.50C
17:36, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 39.00%, temp: 35.50C
17:37, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 40.00%, temp: 36.10C
17:40, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 39.00%, temp: 35.50C
17:40, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 40.00%, temp: 36.40C
17:41, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 39.00%, temp: 35.70C
17:42, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 40.00%, temp: 36.30C
17:43, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 39.00%, temp: 36.70C
17:43, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 39.00%, temp: 36.00C
17:45, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 39.00%, temp: 36.70C
17:47, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 38.00%, temp: 35.90C
17:47, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 39.00%, temp: 36.50C
17:48, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 38.00%, temp: 35.70C
17:49, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 39.00%, temp: 36.00C
17:50, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 38.00%, temp: 36.30C
17:50, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 38.00%, temp: 36.00C
17:52, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 38.00%, temp: 36.50C
17:52, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 38.00%, temp: 37.00C
17:54, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 38.00%, temp: 36.20C
17:54, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 38.00%, temp: 37.30C
17:56, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 37.00%, temp: 35.80C
17:56, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 38.00%, temp: 36.80C
17:58, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 38.00%, temp: 36.80C
17:59, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 38.00%, temp: 36.90C
17:59, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 39.00%, temp: 37.10C
18:07, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 37.00%, temp: 35.80C
18:07, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 37.00%, temp: 35.80C
18:09, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 37.00%, temp: 35.90C
18:10, PM10: 125ug/m^3, PM2.5: 125ug/m^3, Humid: 38.00%, temp: 36.10C
18:11, PM10: 124ug/m^3, PM2.5: 124ug/m^3, Humid: 37.00%, temp: 35.90C
18:11, PM10: 124ug/m^3, PM2.5: 124ug/m^3, Humid: 38.00%, temp: 36.70C
18:12, PM10: 124ug/m^3, PM2.5: 124ug/m^3, Humid: 38.00%, temp: 36.60C
18:12, PM10: 125ug/m^3, PM2.5: 125ug/m^3, Humid: 38.00%, temp: 37.10C
18:12, PM10: 125ug/m^3, PM2.5: 125ug/m^3, Humid: 38.00%, temp: 36.50C
18:14, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 37.00%, temp: 35.40C
18:14, PM10: 124ug/m^3, PM2.5: 124ug/m^3, Humid: 37.00%, temp: 36.10C
18:15, PM10: 144ug/m^3, PM2.5: 144ug/m^3, Humid: 36.00%, temp: 35.90C
18:15, PM10: 144ug/m^3, PM2.5: 144ug/m^3, Humid: 37.00%, temp: 36.40C
18:16, PM10: 141ug/m^3, PM2.5: 141ug/m^3, Humid: 37.00%, temp: 36.10C
