01:25, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 38.00%, temp: 32.60C
01:26, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 39.00%, temp: 33.10C
01:27, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 38.00%, temp: 32.90C
01:31, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 33.90C
01:31, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 34.10C
01:32, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 34.20C
01:33, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 36.00%, temp: 33.90C
01:34, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 36.00%, temp: 34.10C
01:35, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 35.00%, temp: 34.20C
01:36, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 34.10C
01:37, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 34.10C
01:38, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 33.40C
01:39, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 36.00%, temp: 34.10C
01:40, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 33.90C
01:41, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 35.00%, temp: 34.10C
01:45, PM10: 133ug/m^3, PM2.5: 133ug/m^3, Humid: 33.00%, temp: 35.00C
01:45, PM10: 134ug/m^3, PM2.5: 134ug/m^3, Humid: 32.00%, temp: 34.70C
01:46, PM10: 144ug/m^3, PM2.5: 144ug/m^3, Humid: 32.00%, temp: 35.40C
01:48, PM10: 140ug/m^3, PM2.5: 140ug/m^3, Humid: 32.00%, temp: 34.80C
01:50, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 31.00%, temp: 35.50C
01:50, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 31.00%, temp: 34.90C
01:51, PM10: 132ug/m^3, PM2.5: 132ug/m^3, Humid: 31.00%, temp: 34.90C
01:51, PM10: 132ug/m^3, PM2.5: 132ug/m^3, Humid: 31.00%, temp: 35.10C
01:51, PM10: 132ug/m^3, PM2.5: 132ug/m^3, Humid: 31.00%, temp: 35.10C
01:51, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 31.00%, temp: 35.80C
01:51, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 31.00%, temp: 35.60C
01:52, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 31.00%, temp: 35.50C
01:52, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 31.00%, temp: 35.00C
01:53, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 31.00%, temp: 35.50C
01:53, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 31.00%, temp: 35.50C
01:53, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 31.00%, temp: 35.70C
01:53, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 31.00%, temp: 35.80C
01:54, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 31.00%, temp: 35.20C
01:54, PM10: 129ug/m^3, PM2.5: 129ug/m^3, Humid: 31.00%, temp: 35.70C
01:55, PM10: 128ug/m^3, PM2.5: 128ug/m^3, Humid: 31.00%, temp: 35.90C
01:55, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 32.00%, temp: 36.20C
01:55, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 31.00%, temp: 35.10C
01:55, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 31.00%, temp: 35.10C
01:55, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 32.00%, temp: 36.10C
01:57, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 31.00%, temp: 35.00C
01:57, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 31.00%, temp: 35.90C
01:57, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 30.00%, temp: 35.90C
01:57, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 31.00%, temp: 35.70C
01:58, PM10: 125ug/m^3, PM2.5: 125ug/m^3, Humid: 30.00%, temp: 35.80C
01:58, PM10: 125ug/m^3, PM2.5: 125ug/m^3, Humid: 30.00%, temp: 35.10C
