00:40, PM10: 12ug/m^3, PM2.5: 12ug/m^3, Humid: 55.00%, temp: 31.20C
00:40, PM10: 12ug/m^3, PM2.5: 12ug/m^3, Humid: 55.00%, temp: 31.50C
00:42, PM10: 12ug/m^3, PM2.5: 12ug/m^3, Humid: 52.00%, temp: 32.00C
00:42, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 52.00%, temp: 32.20C
00:43, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 52.00%, temp: 32.50C
00:43, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 51.00%, temp: 32.90C
00:43, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 50.00%, temp: 32.90C
00:44, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 50.00%, temp: 32.70C
00:44, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 51.00%, temp: 33.00C
00:44, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 51.00%, temp: 33.10C
00:44, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 50.00%, temp: 33.00C
00:44, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 50.00%, temp: 33.30C
00:45, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 50.00%, temp: 33.00C
00:45, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 49.00%, temp: 33.40C
00:45, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 49.00%, temp: 33.30C
00:46, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 48.00%, temp: 33.60C
00:46, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 48.00%, temp: 33.50C
00:47, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 47.00%, temp: 33.80C
00:47, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 47.00%, temp: 33.60C
00:49, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 45.00%, temp: 34.30C
00:49, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 45.00%, temp: 34.20C
00:49, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 45.00%, temp: 34.50C
00:50, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 44.00%, temp: 34.50C
00:50, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 44.00%, temp: 34.90C
00:50, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 44.00%, temp: 34.50C
00:50, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 44.00%, temp: 35.20C
00:50, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 44.00%, temp: 34.80C
00:50, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 44.00%, temp: 34.80C
00:51, PM10: 9ug/m^3, PM2.5: 9ug/m^3, Humid: 44.00%, temp: 34.60C
00:51, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 44.00%, temp: 35.00C
00:51, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 43.00%, temp: 35.30C
00:51, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 43.00%, temp: 35.10C
00:51, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 43.00%, temp: 35.10C
00:52, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 43.00%, temp: 35.50C
00:52, PM10: 11ug/m^3, PM2.5: 11ug/m^3, Humid: 43.00%, temp: 35.50C
00:52, PM10: 12ug/m^3, PM2.5: 12ug/m^3, Humid: 42.00%, temp: 35.20C
00:52, PM10: 12ug/m^3, PM2.5: 12ug/m^3, Humid: 42.00%, temp: 35.30C
00:53, PM10: 10ug/m^3, PM2.5: 10ug/m^3, Humid: 41.00%, temp: 34.80C
