01:19, PM10: 140ug/m^3, PM2.5: 140ug/m^3, Humid: 34.00%, temp: 35.10C
01:19, PM10: 140ug/m^3, PM2.5: 140ug/m^3, Humid: 34.00%, temp: 34.90C
01:51, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 31.00%, temp: 36.50C
01:51, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 31.00%, temp: 36.70C
01:52, PM10: 166ug/m^3, PM2.5: 193ug/m^3, Humid: 34.00%, temp: 36.00C
01:52, PM10: 166ug/m^3, PM2.5: 193ug/m^3, Humid: 34.00%, temp: 36.50C
02:39, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 37.00%, temp: 33.50C
02:39, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 37.00%, temp: 33.60C
02:40, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 37.00%, temp: 33.30C
02:40, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 37.00%, temp: 33.60C
02:41, PM10: 40ug/m^3, PM2.5: 40ug/m^3, Humid: 36.00%, temp: 33.90C
02:41, PM10: 40ug/m^3, PM2.5: 40ug/m^3, Humid: 36.00%, temp: 34.10C
02:42, PM10: 36ug/m^3, PM2.5: 36ug/m^3, Humid: 36.00%, temp: 34.00C
02:42, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 36.00%, temp: 33.90C
02:42, PM10: 31ug/m^3, PM2.5: 31ug/m^3, Humid: 36.00%, temp: 34.10C
02:43, PM10: 31ug/m^3, PM2.5: 31ug/m^3, Humid: 36.00%, temp: 34.00C
02:44, PM10: 29ug/m^3, PM2.5: 29ug/m^3, Humid: 35.00%, temp: 34.10C
02:44, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 35.00%, temp: 34.70C
02:45, PM10: 31ug/m^3, PM2.5: 31ug/m^3, Humid: 35.00%, temp: 34.20C
02:47, PM10: 30ug/m^3, PM2.5: 33ug/m^3, Humid: 34.00%, temp: 34.50C
02:47, PM10: 30ug/m^3, PM2.5: 33ug/m^3, Humid: 34.00%, temp: 34.80C
02:48, PM10: 30ug/m^3, PM2.5: 33ug/m^3, Humid: 34.00%, temp: 34.50C
02:49, PM10: 32ug/m^3, PM2.5: 35ug/m^3, Humid: 34.00%, temp: 35.40C
02:49, PM10: 33ug/m^3, PM2.5: 36ug/m^3, Humid: 34.00%, temp: 35.50C
02:51, PM10: 29ug/m^3, PM2.5: 29ug/m^3, Humid: 33.00%, temp: 35.50C
02:51, PM10: 29ug/m^3, PM2.5: 29ug/m^3, Humid: 33.00%, temp: 35.40C
02:52, PM10: 29ug/m^3, PM2.5: 29ug/m^3, Humid: 33.00%, temp: 35.40C
02:52, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.60C
02:52, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.40C
02:53, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.30C
02:53, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.30C
02:53, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.10C
02:54, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.50C
02:55, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 33.00%, temp: 35.50C
02:57, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 32.00%, temp: 35.80C
02:57, PM10: 30ug/m^3, PM2.5: 30ug/m^3, Humid: 32.00%, temp: 35.80C
02:58, PM10: 31ug/m^3, PM2.5: 31ug/m^3, Humid: 32.00%, temp: 35.60C
03:01, PM10: 152ug/m^3, PM2.5: 152ug/m^3, Humid: 32.00%, temp: 36.20C
03:01, PM10: 152ug/m^3, PM2.5: 152ug/m^3, Humid: 31.00%, temp: 35.50C
03:01, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 32.00%, temp: 36.10C
03:01, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 32.00%, temp: 36.10C
03:02, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 31.00%, temp: 35.50C
03:02, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 31.00%, temp: 35.70C
03:02, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 32.00%, temp: 36.60C
03:02, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 31.00%, temp: 36.70C
03:05, PM10: 142ug/m^3, PM2.5: 142ug/m^3, Humid: 31.00%, temp: 37.00C
03:05, PM10: 142ug/m^3, PM2.5: 142ug/m^3, Humid: 31.00%, temp: 36.00C
03:05, PM10: 149ug/m^3, PM2.5: 149ug/m^3, Humid: 32.00%, temp: 37.20C
03:05, PM10: 149ug/m^3, PM2.5: 149ug/m^3, Humid: 32.00%, temp: 36.70C
03:06, PM10: 148ug/m^3, PM2.5: 148ug/m^3, Humid: 31.00%, temp: 37.00C
03:06, PM10: 158ug/m^3, PM2.5: 158ug/m^3, Humid: 31.00%, temp: 36.50C
03:06, PM10: 159ug/m^3, PM2.5: 159ug/m^3, Humid: 30.00%, temp: 35.70C
03:09, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 31.00%, temp: 36.00C
03:09, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 30.00%, temp: 35.80C
03:10, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 31.00%, temp: 36.20C
03:10, PM10: 160ug/m^3, PM2.5: 160ug/m^3, Humid: 38.00%, temp: 36.50C
03:10, PM10: 160ug/m^3, PM2.5: 160ug/m^3, Humid: 37.00%, temp: 36.60C
03:11, PM10: 160ug/m^3, PM2.5: 160ug/m^3, Humid: 36.00%, temp: 36.50C
03:11, PM10: 163ug/m^3, PM2.5: 178ug/m^3, Humid: 31.00%, temp: 36.60C
03:11, PM10: 164ug/m^3, PM2.5: 179ug/m^3, Humid: 31.00%, temp: 36.90C
03:12, PM10: 160ug/m^3, PM2.5: 172ug/m^3, Humid: 31.00%, temp: 36.20C
03:12, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 32.00%, temp: 36.30C
03:12, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 31.00%, temp: 35.80C
03:19, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 36.70C
03:19, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 29.00%, temp: 37.30C
03:19, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 36.80C
03:20, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 29.00%, temp: 37.40C
03:21, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 29.00%, temp: 36.70C
03:21, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 29.00%, temp: 37.10C
03:22, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 29.00%, temp: 37.40C
03:23, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 29.00%, temp: 37.40C
03:24, PM10: 156ug/m^3, PM2.5: 156ug/m^3, Humid: 29.00%, temp: 36.10C
03:25, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 37.50C
03:25, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 36.50C
03:26, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 36.90C
03:27, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 36.70C
03:27, PM10: 155ug/m^3, PM2.5: 155ug/m^3, Humid: 29.00%, temp: 36.80C
03:27, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 37.00C
03:28, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 36.80C
03:29, PM10: 154ug/m^3, PM2.5: 154ug/m^3, Humid: 29.00%, temp: 37.20C
