22:49, PM10: 123ug/m^3, PM2.5: 123ug/m^3, Humid: 36.00%, temp: 34.80C
22:49, PM10: 126ug/m^3, PM2.5: 126ug/m^3, Humid: 36.00%, temp: 34.80C
22:50, PM10: 127ug/m^3, PM2.5: 127ug/m^3, Humid: 36.00%, temp: 34.50C
22:52, PM10: 137ug/m^3, PM2.5: 137ug/m^3, Humid: 35.00%, temp: 34.80C
22:52, PM10: 137ug/m^3, PM2.5: 137ug/m^3, Humid: 35.00%, temp: 35.20C
22:53, PM10: 137ug/m^3, PM2.5: 137ug/m^3, Humid: 35.00%, temp: 35.80C
22:53, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 34.00%, temp: 34.30C
22:54, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 34.00%, temp: 34.50C
22:56, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 34.00%, temp: 34.90C
22:57, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 34.00%, temp: 35.50C
22:58, PM10: 140ug/m^3, PM2.5: 140ug/m^3, Humid: 34.00%, temp: 34.50C
22:59, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 35.00%, temp: 36.00C
23:00, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 34.00%, temp: 35.20C
23:01, PM10: 140ug/m^3, PM2.5: 140ug/m^3, Humid: 34.00%, temp: 34.60C
23:02, PM10: 141ug/m^3, PM2.5: 141ug/m^3, Humid: 34.00%, temp: 35.10C
23:03, PM10: 141ug/m^3, PM2.5: 141ug/m^3, Humid: 34.00%, temp: 35.80C
23:04, PM10: 142ug/m^3, PM2.5: 142ug/m^3, Humid: 34.00%, temp: 35.00C
23:13, PM10: 143ug/m^3, PM2.5: 143ug/m^3, Humid: 32.00%, temp: 36.70C
23:13, PM10: 144ug/m^3, PM2.5: 144ug/m^3, Humid: 32.00%, temp: 37.00C
23:15, PM10: 138ug/m^3, PM2.5: 138ug/m^3, Humid: 32.00%, temp: 37.10C
23:16, PM10: 139ug/m^3, PM2.5: 139ug/m^3, Humid: 32.00%, temp: 37.40C
23:17, PM10: 136ug/m^3, PM2.5: 136ug/m^3, Humid: 31.00%, temp: 36.90C
23:18, PM10: 119ug/m^3, PM2.5: 119ug/m^3, Humid: 47.00%, temp: 31.60C
23:56, PM10: 132ug/m^3, PM2.5: 132ug/m^3, Humid: 47.00%, temp: 31.90C
23:56, PM10: 133ug/m^3, PM2.5: 133ug/m^3, Humid: 47.00%, temp: 32.00C
23:57, PM10: 131ug/m^3, PM2.5: 131ug/m^3, Humid: 65.00%, temp: 28.00C
23:57, PM10: 130ug/m^3, PM2.5: 130ug/m^3, Humid: 64.00%, temp: 27.20C
